transaction_id,transaction_date,customer_segment,items,basket_size
T00126,2026-06-14,Value,Bread|Butter|Milk|Tomato Sauce,4
T00127,2026-07-15,Regular,Cheese|Pasta|Tea|Tomato Sauce,4
T00128,2026-08-16,Regular,Cheese|Chicken|Milk|Pasta|Tomato Sauce|Yogurt,6
T00129,2026-09-17,Regular,Biscuits|Coffee|Eggs|Milk|Tea,5
T00130,2026-10-18,Regular,Butter|Cheese|Chips|Pasta|Tomato Sauce,5
T00131,2026-11-19,Regular,Chicken|Milk|Pasta|Tea|Tomato Sauce,5
T00132,2026-12-20,Premium,Biscuits|Bread|Butter|Milk,4
T00133,2026-01-21,Value,Bread|Butter|Cereal|Milk,4
T00134,2026-02-22,Regular,Cheese|Pasta|Tomato Sauce,3
T00135,2026-03-23,Regular,Bread|Butter|Milk,3
T00136,2026-04-24,Regular,Biscuits|Coffee,2
T00137,2026-05-25,Regular,Cheese|Milk|Pasta|Tomato Sauce,4
T00138,2026-06-26,Regular,Bread|Butter|Eggs,3
T00139,2026-07-27,Premium,Chicken|Eggs|Pasta,3
T00140,2026-08-28,Premium,Chicken|Milk|Pasta,3
T00141,2026-09-01,Regular,Chicken|Pasta|Tomato Sauce,3
T00142,2026-10-02,Premium,Bread|Butter|Yogurt,3
T00143,2026-11-03,Premium,Biscuits|Cheese|Pasta|Tomato Sauce,4
T00144,2026-12-04,Value,Chicken|Pasta,2
T00145,2026-01-05,Value,Cereal|Milk|Tea,3
T00146,2026-02-06,Value,Bread|Butter|Chicken|Eggs|Milk,5
T00147,2026-03-07,Premium,Bread|Butter|Milk,3
T00148,2026-04-08,Value,Biscuits|Cereal|Juice|Milk|Yogurt,5
T00149,2026-05-09,Regular,Biscuits|Coffee,2
T00150,2026-06-10,Value,Pasta|Tomato Sauce,2
T00151,2026-07-11,Regular,Biscuits|Coffee|Eggs,3
T00152,2026-08-12,Value,Bread|Butter|Cereal|Milk|Yogurt,5
T00153,2026-09-13,Premium,Biscuits|Coffee|Juice|Milk,4
T00154,2026-10-14,Regular,Biscuits|Coffee,2
T00155,2026-11-15,Premium,Bread|Butter|Eggs|Milk,4
T00156,2026-12-16,Regular,Biscuits|Coffee|Milk|Tea,4
T00157,2026-01-17,Value,Cereal|Coffee|Milk|Yogurt,4
T00158,2026-02-18,Value,Bread|Butter|Chicken|Milk,4
T00159,2026-03-19,Premium,Bread|Cereal|Milk,3
T00160,2026-04-20,Premium,Bread|Cereal|Chicken|Pasta|Tomato Sauce,5
T00161,2026-05-21,Regular,Cereal|Coffee|Milk|Yogurt,4
T00162,2026-06-22,Value,Bread|Butter|Cheese|Juice|Milk,5
T00163,2026-07-23,Regular,Cereal|Milk|Yogurt,3
T00164,2026-08-24,Regular,Bread|Butter,2
T00165,2026-09-25,Premium,Cereal|Milk|Yogurt,3
T00166,2026-10-26,Value,Bread|Butter|Eggs|Milk|Tea,5
T00167,2026-11-27,Premium,Biscuits|Coffee|Milk|Yogurt,4
T00168,2026-12-28,Regular,Bread|Butter|Chips|Eggs|Milk,5
T00169,2026-01-01,Premium,Bread|Butter|Chicken,3
T00170,2026-02-02,Regular,Biscuits|Cheese|Eggs|Pasta|Tomato Sauce,5
T00171,2026-03-03,Regular,Biscuits|Coffee|Eggs|Juice,4
T00172,2026-04-04,Value,Bread|Butter|Cereal|Milk,4
T00173,2026-05-05,Regular,Biscuits|Coffee|Juice|Milk,4
T00174,2026-06-06,Value,Biscuits|Coffee|Tomato Sauce,3
T00175,2026-07-07,Premium,Chicken|Pasta|Tea,3
T00176,2026-08-08,Premium,Biscuits|Coffee|Milk,3
T00177,2026-09-09,Regular,Biscuits|Cereal|Coffee,3
T00178,2026-10-10,Regular,Biscuits|Bread|Coffee|Pasta,4
T00179,2026-11-11,Regular,Biscuits|Coffee|Pasta,3
T00180,2026-12-12,Regular,Biscuits|Bread|Cheese|Pasta|Tomato Sauce,5
T00181,2026-01-13,Premium,Chips|Pasta|Tomato Sauce,3
T00182,2026-02-14,Premium,Biscuits|Coffee|Milk,3
T00183,2026-03-15,Premium,Cheese|Pasta|Tomato Sauce,3
T00184,2026-04-16,Regular,Chicken|Chips|Pasta,3
T00185,2026-05-17,Premium,Bread|Butter|Milk,3
T00186,2026-06-18,Premium,Biscuits|Cereal|Pasta|Tomato Sauce,4
T00187,2026-07-19,Value,Pasta|Tomato Sauce,2
T00188,2026-08-20,Regular,Biscuits|Coffee|Milk,3
T00189,2026-09-21,Premium,Cereal|Milk|Tomato Sauce,3
T00190,2026-10-22,Value,Chicken|Pasta|Tomato Sauce,3
T00191,2026-11-23,Premium,Biscuits|Bread|Butter|Milk,4
T00192,2026-12-24,Regular,Bread|Butter|Milk,3
T00193,2026-01-25,Premium,Bread|Cereal|Cheese|Chips|Milk|Yogurt,6
T00194,2026-02-26,Regular,Biscuits|Chicken|Coffee|Eggs|Milk,5
T00195,2026-03-27,Value,Cheese|Pasta|Tomato Sauce,3
T00196,2026-04-28,Premium,Bread|Butter|Cheese|Chicken|Milk|Yogurt,6
T00197,2026-05-01,Premium,Bread|Butter|Milk,3
T00198,2026-06-02,Value,Bread|Butter|Coffee|Eggs|Milk,5
T00199,2026-07-03,Value,Biscuits|Coffee,2
T00200,2026-08-04,Value,Biscuits|Bread|Pasta|Tomato Sauce,4
T00201,2026-09-05,Value,Biscuits|Chips|Coffee|Juice|Milk,5
T00202,2026-10-06,Regular,Biscuits|Chips|Coffee,3
T00203,2026-11-07,Value,Bread|Cheese|Chicken|Coffee|Milk|Pasta|Tomato Sauce,7
T00204,2026-12-08,Value,Cereal|Milk|Yogurt,3
T00205,2026-01-09,Regular,Cheese|Pasta|Tomato Sauce|Yogurt,4
T00206,2026-02-10,Regular,Bread|Butter|Milk|Pasta,4
T00207,2026-03-11,Value,Butter|Cheese|Pasta|Tomato Sauce,4
T00208,2026-04-12,Premium,Biscuits|Bread|Coffee|Milk,4
T00209,2026-05-13,Value,Biscuits|Coffee|Eggs,3
T00210,2026-06-14,Regular,Cheese|Milk|Pasta|Tomato Sauce|Yogurt,5
T00211,2026-07-15,Regular,Bread|Butter|Cheese|Eggs|Milk,5
T00212,2026-08-16,Regular,Chicken|Pasta|Tomato Sauce,3
T00213,2026-09-17,Regular,Cheese|Coffee|Pasta|Tomato Sauce,4
T00214,2026-10-18,Value,Eggs|Pasta|Tomato Sauce,3
T00215,2026-11-19,Premium,Biscuits|Chips|Coffee|Eggs|Milk|Tea,6
T00216,2026-12-20,Regular,Bread|Butter|Chicken|Milk,4
T00217,2026-01-21,Premium,Biscuits|Coffee|Milk,3
T00218,2026-02-22,Regular,Bread|Butter|Juice|Tea,4
T00219,2026-03-23,Premium,Cereal|Milk|Yogurt,3
T00220,2026-04-24,Regular,Bread|Butter|Milk|Tomato Sauce,4
T00221,2026-05-25,Premium,Bread|Butter,2
T00222,2026-06-26,Value,Milk|Pasta|Tomato Sauce|Yogurt,4
T00223,2026-07-27,Premium,Biscuits|Cereal|Chips|Coffee|Milk|Tea,6
T00224,2026-08-28,Premium,Cereal|Cheese|Milk|Tea,4
T00225,2026-09-01,Regular,Biscuits|Bread|Coffee,3
T00226,2026-10-02,Premium,Biscuits|Coffee|Milk,3
T00227,2026-11-03,Regular,Biscuits|Chips|Coffee|Milk,4
T00228,2026-12-04,Regular,Biscuits|Butter|Coffee,3
T00229,2026-01-05,Premium,Biscuits|Bread|Butter|Juice,4
T00230,2026-02-06,Premium,Bread|Butter|Cereal|Coffee|Pasta,5
T00231,2026-03-07,Regular,Cereal|Chicken|Pasta|Yogurt,4
T00232,2026-04-08,Regular,Cereal|Milk,2
T00233,2026-05-09,Premium,Biscuits|Bread|Coffee|Tomato Sauce,4
T00234,2026-06-10,Regular,Biscuits|Cheese|Coffee|Milk,4
T00235,2026-07-11,Regular,Bread|Juice|Pasta|Tomato Sauce,4
T00236,2026-08-12,Value,Bread|Pasta|Tomato Sauce,3
T00237,2026-09-13,Premium,Cereal|Milk,2
T00238,2026-10-14,Regular,Bread|Butter,2
T00239,2026-11-15,Premium,Cereal|Chicken|Coffee|Eggs|Milk|Tea|Yogurt,7
T00240,2026-12-16,Value,Chicken|Milk|Pasta|Tea|Tomato Sauce,5
T00241,2026-01-17,Premium,Biscuits|Cheese|Coffee|Milk,4
T00242,2026-02-18,Value,Biscuits|Coffee|Eggs|Milk|Tea,5
T00243,2026-03-19,Value,Bread|Butter|Eggs|Milk,4
T00244,2026-04-20,Premium,Bread|Butter|Eggs|Milk,4
T00245,2026-05-21,Value,Bread|Chicken|Milk|Pasta,4
T00246,2026-06-22,Regular,Bread|Butter|Chicken|Juice|Milk,5
T00247,2026-07-23,Premium,Biscuits|Coffee|Tea,3
T00248,2026-08-24,Value,Cereal|Coffee|Milk|Yogurt,4
T00249,2026-09-25,Value,Biscuits|Bread|Butter|Milk|Pasta,5
T00250,2026-10-26,Value,Biscuits|Chips|Coffee|Milk|Tomato Sauce,5
T00251,2026-11-27,Premium,Biscuits|Bread|Butter|Chips,4
T00252,2026-12-28,Regular,Butter|Chicken|Coffee|Pasta|Yogurt,5
T00253,2026-01-01,Value,Bread|Butter|Eggs|Milk,4
T00254,2026-02-02,Regular,Cheese|Pasta|Tomato Sauce,3
T00255,2026-03-03,Regular,Biscuits|Coffee|Juice|Milk,4
T00256,2026-04-04,Premium,Cheese|Pasta|Tomato Sauce,3
T00257,2026-05-05,Regular,Biscuits|Bread|Coffee,3
T00258,2026-06-06,Regular,Bread|Butter,2
T00259,2026-07-07,Premium,Bread|Butter|Cereal|Eggs,4
T00260,2026-08-08,Regular,Chicken|Eggs|Pasta|Tomato Sauce,4
T00261,2026-09-09,Value,Biscuits|Coffee|Milk,3
T00262,2026-10-10,Value,Chicken|Milk|Pasta,3
T00263,2026-11-11,Premium,Cereal|Milk,2
T00264,2026-12-12,Premium,Biscuits|Coffee,2
T00265,2026-01-13,Premium,Biscuits|Coffee|Milk,3
T00266,2026-02-14,Regular,Bread|Butter|Tomato Sauce,3
T00267,2026-03-15,Value,Biscuits|Butter|Coffee,3
T00268,2026-04-16,Value,Cheese|Coffee|Pasta|Tomato Sauce,4
T00269,2026-05-17,Value,Biscuits|Chips|Coffee|Juice|Milk,5
T00270,2026-06-18,Regular,Chicken|Coffee|Milk|Pasta,4
T00271,2026-07-19,Premium,Bread|Butter|Milk,3
T00272,2026-08-20,Regular,Biscuits|Bread|Butter|Coffee|Eggs|Milk,6
T00273,2026-09-21,Regular,Bread|Butter|Coffee|Tomato Sauce,4
T00274,2026-10-22,Premium,Chicken|Pasta|Tomato Sauce,3
T00275,2026-11-23,Regular,Cereal|Chicken|Coffee|Milk|Tea|Yogurt,6
T00276,2026-12-24,Premium,Bread|Cheese|Pasta|Tomato Sauce,4
T00277,2026-01-25,Premium,Bread|Butter|Milk|Tomato Sauce,4
T00278,2026-02-26,Value,Bread|Butter|Milk|Pasta|Yogurt,5
T00279,2026-03-27,Premium,Bread|Butter|Tomato Sauce,3
T00280,2026-04-28,Regular,Biscuits|Chicken|Coffee,3
T00281,2026-05-01,Premium,Pasta|Tomato Sauce|Yogurt,3
T00282,2026-06-02,Premium,Cereal|Milk|Pasta|Tea|Yogurt,5
T00283,2026-07-03,Value,Biscuits|Bread|Butter|Juice|Tea,5
T00284,2026-08-04,Value,Bread|Butter|Eggs|Tea,4
T00285,2026-09-05,Premium,Bread|Butter,2
T00286,2026-10-06,Premium,Biscuits|Chicken|Coffee|Milk,4
T00287,2026-11-07,Premium,Biscuits|Coffee|Milk,3
T00288,2026-12-08,Value,Biscuits|Chips|Coffee|Eggs|Juice|Tea,6
T00289,2026-01-09,Regular,Cheese|Pasta|Tomato Sauce,3
T00290,2026-02-10,Regular,Biscuits|Butter|Cereal|Eggs|Milk,5
T00291,2026-03-11,Value,Chips|Pasta|Tomato Sauce,3
T00292,2026-04-12,Premium,Pasta|Tomato Sauce,2
T00293,2026-05-13,Regular,Biscuits|Coffee|Milk|Tea,4
T00294,2026-06-14,Premium,Cereal|Milk,2
T00295,2026-07-15,Regular,Cereal|Coffee|Milk|Yogurt,4
T00296,2026-08-16,Value,Bread|Butter|Coffee|Milk,4
T00297,2026-09-17,Premium,Bread|Cereal|Eggs|Milk|Pasta|Yogurt,6
T00298,2026-10-18,Regular,Biscuits|Coffee,2
T00299,2026-11-19,Regular,Biscuits|Cereal|Coffee|Milk,4
T00300,2026-12-20,Premium,Bread|Butter|Milk|Pasta,4
T00301,2026-01-21,Premium,Cheese|Pasta|Tomato Sauce,3
T00302,2026-02-22,Premium,Bread|Butter|Cheese|Milk|Tea,5
T00303,2026-03-23,Premium,Chicken|Pasta|Tea|Tomato Sauce,4
T00304,2026-04-24,Premium,Biscuits|Cereal|Coffee|Milk,4
T00305,2026-05-25,Value,Biscuits|Cheese|Coffee|Milk,4
T00306,2026-06-26,Regular,Bread|Cheese|Eggs|Pasta|Tomato Sauce,5
T00307,2026-07-27,Regular,Biscuits|Chips|Coffee|Milk,4
T00308,2026-08-28,Premium,Bread|Butter|Eggs|Milk|Pasta,5
T00309,2026-09-01,Value,Bread|Butter|Pasta|Tea,4
T00310,2026-10-02,Value,Cereal|Milk,2
T00311,2026-11-03,Premium,Bread|Cereal|Milk,3
T00312,2026-12-04,Regular,Bread|Butter|Coffee|Juice|Milk|Tea,6
T00313,2026-01-05,Value,Pasta|Tomato Sauce|Yogurt,3
T00314,2026-02-06,Premium,Bread|Butter|Milk|Yogurt,4
T00315,2026-03-07,Regular,Cheese|Pasta|Tomato Sauce,3
T00316,2026-04-08,Regular,Cereal|Eggs|Milk,3
T00317,2026-05-09,Premium,Cereal|Eggs|Milk,3
T00318,2026-06-10,Value,Bread|Butter|Chicken|Chips,4
T00319,2026-07-11,Premium,Butter|Cereal|Cheese|Milk|Pasta,5
T00320,2026-08-12,Regular,Bread|Butter,2
T00321,2026-09-13,Value,Biscuits|Chicken|Eggs|Pasta,4
T00322,2026-10-14,Regular,Cheese|Milk|Pasta|Tomato Sauce,4
T00323,2026-11-15,Premium,Pasta|Tea|Tomato Sauce,3
T00324,2026-12-16,Regular,Biscuits|Coffee|Tea,3
T00325,2026-01-17,Regular,Bread|Cereal|Milk,3
T00326,2026-02-18,Value,Bread|Butter|Eggs|Milk,4
T00327,2026-03-19,Value,Cereal|Milk,2
T00328,2026-04-20,Regular,Bread|Butter,2
T00329,2026-05-21,Premium,Cereal|Eggs|Milk,3
T00330,2026-06-22,Value,Bread|Butter|Cheese|Milk,4
T00331,2026-07-23,Regular,Bread|Butter,2
T00332,2026-08-24,Value,Cereal|Milk|Yogurt,3
T00333,2026-09-25,Value,Cereal|Milk|Yogurt,3
T00334,2026-10-26,Regular,Bread|Butter|Chicken|Coffee|Juice|Milk,6
T00335,2026-11-27,Premium,Chicken|Juice|Pasta|Yogurt,4
T00336,2026-12-28,Premium,Chicken|Pasta,2
T00337,2026-01-01,Premium,Bread|Butter|Milk,3
T00338,2026-02-02,Value,Bread|Cereal|Milk|Yogurt,4
T00339,2026-03-03,Value,Pasta|Tomato Sauce,2
T00340,2026-04-04,Value,Bread|Butter|Eggs|Milk,4
T00341,2026-05-05,Value,Chicken|Milk|Pasta|Tomato Sauce,4
T00342,2026-06-06,Regular,Biscuits|Chicken|Coffee|Milk,4
T00343,2026-07-07,Value,Bread|Butter|Cheese|Chips|Milk|Pasta,6
T00344,2026-08-08,Premium,Cheese|Pasta|Tomato Sauce,3
T00345,2026-09-09,Regular,Cheese|Eggs|Pasta|Tomato Sauce,4
T00346,2026-10-10,Value,Chicken|Pasta|Tomato Sauce,3
T00347,2026-11-11,Value,Biscuits|Bread|Chicken|Coffee|Eggs|Milk,6
T00348,2026-12-12,Value,Bread|Butter|Yogurt,3
T00349,2026-01-13,Regular,Biscuits|Bread|Butter|Milk,4
T00350,2026-02-14,Regular,Bread|Cheese|Juice|Pasta|Tomato Sauce,5
T00351,2026-03-15,Value,Cheese|Juice|Pasta|Tomato Sauce,4
T00352,2026-04-16,Regular,Biscuits|Coffee|Juice|Milk,4
T00353,2026-05-17,Value,Pasta|Tomato Sauce,2
T00354,2026-06-18,Value,Cereal|Milk|Yogurt,3
T00355,2026-07-19,Premium,Bread|Butter|Milk,3
T00356,2026-08-20,Premium,Bread|Butter|Coffee|Juice|Milk|Tea,6
T00357,2026-09-21,Regular,Biscuits|Cereal|Coffee|Juice|Tea,5
T00358,2026-10-22,Regular,Pasta|Tomato Sauce,2
T00359,2026-11-23,Value,Bread|Butter|Milk,3
T00360,2026-12-24,Regular,Bread|Eggs|Pasta|Tea|Tomato Sauce,5
T00361,2026-01-25,Value,Bread|Butter,2
T00362,2026-02-26,Value,Bread|Butter|Milk,3
T00363,2026-03-27,Premium,Cereal|Cheese|Milk|Tea,4
T00364,2026-04-28,Value,Biscuits|Cheese|Pasta|Tomato Sauce,4
T00365,2026-05-01,Premium,Cheese|Pasta|Tomato Sauce,3
T00366,2026-06-02,Regular,Biscuits|Bread|Chicken|Coffee|Milk,5
T00367,2026-07-03,Value,Bread|Chicken|Pasta|Tea|Tomato Sauce,5
T00368,2026-08-04,Value,Biscuits|Coffee|Milk|Yogurt,4
T00369,2026-09-05,Premium,Bread|Juice|Pasta|Tomato Sauce,4
T00370,2026-10-06,Premium,Bread|Butter|Cereal|Eggs,4
T00371,2026-11-07,Premium,Biscuits|Bread|Chicken|Coffee|Milk,5
T00372,2026-12-08,Regular,Biscuits|Bread|Coffee|Milk,4
T00373,2026-01-09,Value,Bread|Butter|Milk,3
T00374,2026-02-10,Premium,Cereal|Milk,2
T00375,2026-03-11,Value,Bread|Butter|Milk,3
T00376,2026-04-12,Premium,Bread|Butter|Chips|Coffee|Milk|Yogurt,6
T00377,2026-05-13,Value,Bread|Butter|Milk|Pasta,4
T00378,2026-06-14,Premium,Biscuits|Cereal|Milk,3
T00379,2026-07-15,Value,Eggs|Pasta|Tea|Tomato Sauce,4
T00380,2026-08-16,Value,Butter|Pasta|Tomato Sauce|Yogurt,4
T00381,2026-09-17,Premium,Bread|Butter|Coffee|Milk|Tea,5
T00382,2026-10-18,Premium,Biscuits|Butter|Coffee|Milk|Pasta,5
T00383,2026-11-19,Value,Bread|Butter|Chips,3
T00384,2026-12-20,Regular,Bread|Butter|Milk,3
T00385,2026-01-21,Value,Bread|Cheese|Chips|Pasta|Tea|Tomato Sauce,6
T00386,2026-02-22,Regular,Juice|Pasta|Tomato Sauce,3
T00387,2026-03-23,Value,Cereal|Coffee|Eggs|Milk|Yogurt,5
T00388,2026-04-24,Premium,Butter|Cereal|Chips|Milk|Yogurt,5
T00389,2026-05-25,Regular,Bread|Butter|Chicken|Pasta|Tomato Sauce,5
